,Suburb,Type,Price,Method,SellerG,Date,Distance,Postcode,Regionname,Propertycount,Year,Month,Quarter,Year_Quarter
22,Abbotsford,h,1310000,S,Jellis,2016-10-15,2.5,3067.0,Northern Metropolitan,4019.0,2016,10,4,2016-Q4
23,Abbotsford,h,1200000,S,Jellis,2016-07-16,2.5,3067.0,Northern Metropolitan,4019.0,2016,7,3,2016-Q3
24,Abbotsford,t,847000,S,Jellis,2016-07-16,2.5,3067.0,Northern Metropolitan,4019.0,2016,7,3,2016-Q3
25,Abbotsford,h,1176500,S,LITTLE,2016-07-16,2.5,3067.0,Northern Metropolitan,4019.0,2016,7,3,2016-Q3
26,Abbotsford,h,955000,S,Collins,2016-09-17,2.5,3067.0,Northern Metropolitan,4019.0,2016,9,3,2016-Q3
27,Abbotsford,h,890000,S,Biggin,2016-09-17,2.5,3067.0,Northern Metropolitan,4019.0,2016,9,3,2016-Q3
28,Abbotsford,h,1330000,PI,Kay,2017-03-18,2.5,3067.0,Northern Metropolitan,4019.0,2017,3,1,2017-Q1
29,Abbotsford,t,900000,S,Beller,2017-03-18,2.5,3067.0,Northern Metropolitan,4019.0,2017,3,1,2017-Q1
30,Abbotsford,u,1090000,S,Jellis,2017-03-18,2.5,3067.0,Northern Metropolitan,4019.0,2017,3,1,2017-Q1
31,Abbotsford,u,500000,S,Collins,2016-06-18,2.5,3067.0,Northern Metropolitan,4019.0,2016,6,2,2016-Q2
32,Abbotsford,h,1100000,PI,Biggin,2016-06-18,2.5,3067.0,Northern Metropolitan,4019.0,2016,6,2,2016-Q2
33,Abbotsford,h,1315000,S,Marshall,2016-11-19,2.5,3067.0,Northern Metropolitan,4019.0,2016,11,4,2016-Q4
34,Abbotsford,u,480000,S,Biggin,2016-11-19,2.5,3067.0,Northern Metropolitan,4019.0,2016,11,4,2016-Q4
35,Abbotsford,u,423500,S,hockingstuart,2016-05-22,2.5,3067.0,Northern Metropolitan,4019.0,2016,5,2,2016-Q2
36,Abbotsford,u,426000,SP,Greg,2016-08-22,2.5,3067.0,Northern Metropolitan,4019.0,2016,8,3,2016-Q3
37,Abbotsford,h,1447500,PI,Nelson,2016-08-22,2.5,3067.0,Northern Metropolitan,4019.0,2016,8,3,2016-Q3
38,Abbotsford,u,457000,S,Jellis,2016-08-22,2.5,3067.0,Northern Metropolitan,4019.0,2016,8,3,2016-Q3
39,Abbotsford,h,1135000,S,Nelson,2016-08-22,2.5,3067.0,Northern Metropolitan,4019.0,2016,8,3,2016-Q3
40,Abbotsford,h,700000,S,Biggin,2016-04-23,2.5,3067.0,Northern Metropolitan,4019.0,2016,4,2,2016-Q2
41,Abbotsford,h,1542000,S,Collins,2016-09-24,2.5,3067.0,Northern Metropolitan,4019.0,2016,9,3,2016-Q3
42,Abbotsford,t,962000,SP,Jellis,2017-02-25,2.5,3067.0,Northern Metropolitan,4019.0,2017,2,1,2017-Q1
43,Abbotsford,h,1290000,S,Biggin,2017-02-25,2.5,3067.0,Northern Metropolitan,4019.0,2017,2,1,2017-Q1
44,Abbotsford,h,1290000,S,Biggin,2017-02-25,2.5,3067.0,Northern Metropolitan,4019.0,2017,2,1,2017-Q1
45,Abbotsford,u,470000,S,Nelson,2016-07-26,2.5,3067.0,Northern Metropolitan,4019.0,2016,7,3,2016-Q3
46,Abbotsford,h,1180000,S,Jellis,2016-11-27,2.5,3067.0,Northern Metropolitan,4019.0,2016,11,4,2016-Q4
47,Abbotsford,h,1195000,SP,Jellis,2016-11-27,2.5,3067.0,Northern Metropolitan,4019.0,2016,11,4,2016-Q4
48,Abbotsford,h,1012500,S,Nelson,2016-05-28,2.5,3067.0,Northern Metropolitan,4019.0,2016,5,2,2016-Q2
49,Abbotsford,u,970000,SP,Biggin,2016-05-28,2.5,3067.0,Northern Metropolitan,4019.0,2016,5,2,2016-Q2
50,Abbotsford,h,1030000,S,Biggin,2016-07-30,2.5,3067.0,Northern Metropolitan,4019.0,2016,7,3,2016-Q3
51,Abbotsford,h,927000,S,Biggin,2016-07-30,2.5,3067.0,Northern Metropolitan,4019.0,2016,7,3,2016-Q3
52,Airport West,t,840000,PI,Nelson,2016-09-03,13.5,3042.0,Western Metropolitan,3464.0,2016,9,3,2016-Q3
53,Airport West,h,730000,VB,Nelson,2016-12-03,13.5,3042.0,Western Metropolitan,3464.0,2016,12,4,2016-Q4
54,Airport West,h,770000,SP,Nelson,2017-03-04,13.5,3042.0,Western Metropolitan,3464.0,2017,3,1,2017-Q1
55,Airport West,h,603000,S,Nelson,2017-03-04,13.5,3042.0,Western Metropolitan,3464.0,2017,3,1,2017-Q1
56,Airport West,t,700000,S,Brad,2017-03-04,13.5,3042.0,Western Metropolitan,3464.0,2017,3,1,2017-Q1
57,Airport West,h,600000,S,Maddison,2017-03-04,13.5,3042.0,Western Metropolitan,3464.0,2017,3,1,2017-Q1
58,Airport West,u,500000,VB,Barry,2017-03-04,13.5,3042.0,Western Metropolitan,3464.0,2017,3,1,2017-Q1
59,Airport West,t,420000,VB,Barry,2016-06-04,13.5,3042.0,Western Metropolitan,3464.0,2016,6,2,2016-Q2
60,Airport West,t,500000,VB,Nelson,2016-06-04,13.5,3042.0,Western Metropolitan,3464.0,2016,6,2,2016-Q2
61,Airport West,h,1035000,S,Airport,2016-08-06,13.5,3042.0,Western Metropolitan,3464.0,2016,8,3,2016-Q3
62,Airport West,h,960000,S,Barry,2016-08-06,13.5,3042.0,Western Metropolitan,3464.0,2016,8,3,2016-Q3
63,Airport West,h,960000,S,Nelson,2016-08-06,13.5,3042.0,Western Metropolitan,3464.0,2016,8,3,2016-Q3
64,Airport West,h,720000,S,Barry,2016-08-06,13.5,3042.0,Western Metropolitan,3464.0,2016,8,3,2016-Q3
65,Airport West,h,785000,S,Considine,2016-08-06,13.5,3042.0,Western Metropolitan,3464.0,2016,8,3,2016-Q3
66,Airport West,h,725000,SP,Barry,2016-05-07,13.5,3042.0,Western Metropolitan,3464.0,2016,5,2,2016-Q2
67,Airport West,t,450000,S,Barry,2016-05-07,13.5,3042.0,Western Metropolitan,3464.0,2016,5,2,2016-Q2
68,Airport West,u,515000,S,Barry,2016-11-07,13.5,3042.0,Western Metropolitan,3464.0,2016,11,4,2016-Q4
69,Airport West,h,680000,VB,Nelson,2016-10-08,13.5,3042.0,Western Metropolitan,3464.0,2016,10,4,2016-Q4
70,Airport West,u,530000,S,Nelson,2016-09-10,13.5,3042.0,Western Metropolitan,3464.0,2016,9,3,2016-Q3
71,Airport West,h,895000,PI,Rendina,2016-09-10,13.5,3042.0,Western Metropolitan,3464.0,2016,9,3,2016-Q3
72,Airport West,u,600000,VB,Nelson,2016-09-10,13.5,3042.0,Western Metropolitan,3464.0,2016,9,3,2016-Q3
73,Airport West,h,805000,S,Nelson,2016-12-10,13.5,3042.0,Western Metropolitan,3464.0,2016,12,4,2016-Q4
74,Airport West,t,760000,PI,Barry,2016-12-10,13.5,3042.0,Western Metropolitan,3464.0,2016,12,4,2016-Q4
75,Airport West,u,752000,S,Nelson,2017-02-11,13.5,3042.0,Western Metropolitan,3464.0,2017,2,1,2017-Q1
76,Airport West,u,580000,VB,Nelson,2016-11-12,13.5,3042.0,Western Metropolitan,3464.0,2016,11,4,2016-Q4
77,Airport West,h,725000,PI,Ray,2016-11-12,13.5,3042.0,Western Metropolitan,3464.0,2016,11,4,2016-Q4
78,Airport West,h,758000,S,Jellis,2016-08-13,13.5,3042.0,Western Metropolitan,3464.0,2016,8,3,2016-Q3
79,Airport West,u,440000,S,Barry,2016-08-13,13.5,3042.0,Western Metropolitan,3464.0,2016,8,3,2016-Q3
80,Airport West,h,970000,S,Barry,2016-05-14,13.5,3042.0,Western Metropolitan,3464.0,2016,5,2,2016-Q2
81,Airport West,h,755000,PI,Propertyau,2016-05-14,13.5,3042.0,Western Metropolitan,3464.0,2016,5,2,2016-Q2
82,Airport West,h,985000,S,Barry,2016-10-15,13.5,3042.0,Western Metropolitan,3464.0,2016,10,4,2016-Q4
83,Airport West,t,700000,PI,Brad,2016-10-15,13.5,3042.0,Western Metropolitan,3464.0,2016,10,4,2016-Q4
84,Airport West,u,509500,SP,Nelson,2016-10-15,13.5,3042.0,Western Metropolitan,3464.0,2016,10,4,2016-Q4
85,Airport West,h,830000,S,Barry,2016-04-16,13.5,3042.0,Western Metropolitan,3464.0,2016,4,2,2016-Q2
86,Airport West,u,462500,S,Barry,2016-07-16,13.5,3042.0,Western Metropolitan,3464.0,2016,7,3,2016-Q3
87,Airport West,h,670000,SP,Barry,2016-07-16,13.5,3042.0,Western Metropolitan,3464.0,2016,7,3,2016-Q3
88,Airport West,h,675000,S,Barry,2016-07-16,13.5,3042.0,Western Metropolitan,3464.0,2016,7,3,2016-Q3
89,Airport West,h,1042000,S,Nelson,2016-07-16,13.5,3042.0,Western Metropolitan,3464.0,2016,7,3,2016-Q3
90,Airport West,h,910000,S,McDonald,2016-09-17,13.5,3042.0,Western Metropolitan,3464.0,2016,9,3,2016-Q3
91,Airport West,h,773000,S,Brad,2016-09-17,13.5,3042.0,Western Metropolitan,3464.0,2016,9,3,2016-Q3
92,Airport West,h,715000,S,Barry,2016-09-17,13.5,3042.0,Western Metropolitan,3464.0,2016,9,3,2016-Q3
93,Airport West,h,810000,PI,Barry,2017-03-18,13.5,3042.0,Western Metropolitan,3464.0,2017,3,1,2017-Q1
94,Airport West,h,715000,S,Rendina,2017-03-18,13.5,3042.0,Western Metropolitan,3464.0,2017,3,1,2017-Q1
95,Airport West,h,790000,S,Nelson,2017-03-18,13.5,3042.0,Western Metropolitan,3464.0,2017,3,1,2017-Q1
96,Airport West,t,460000,VB,Nelson,2016-06-18,13.5,3042.0,Western Metropolitan,3464.0,2016,6,2,2016-Q2
97,Airport West,t,540000,SP,Nelson,2016-06-18,13.5,3042.0,Western Metropolitan,3464.0,2016,6,2,2016-Q2
98,Airport West,t,825000,SP,Barry,2016-11-19,13.5,3042.0,Western Metropolitan,3464.0,2016,11,4,2016-Q4
99,Airport West,h,685000,S,Barry,2016-05-22,13.5,3042.0,Western Metropolitan,3464.0,2016,5,2,2016-Q2
100,Airport West,u,445000,S,Brad,2016-05-22,13.5,3042.0,Western Metropolitan,3464.0,2016,5,2,2016-Q2
101,Airport West,h,805000,S,Barry,2016-08-22,13.5,3042.0,Western Metropolitan,3464.0,2016,8,3,2016-Q3
102,Airport West,u,510000,S,Nelson,2016-08-22,13.5,3042.0,Western Metropolitan,3464.0,2016,8,3,2016-Q3
103,Airport West,h,612000,S,Nelson,2016-08-22,13.5,3042.0,Western Metropolitan,3464.0,2016,8,3,2016-Q3
104,Airport West,h,662000,S,Brad,2016-04-23,13.5,3042.0,Western Metropolitan,3464.0,2016,4,2,2016-Q2
105,Airport West,h,978000,S,Nelson,2016-09-24,13.5,3042.0,Western Metropolitan,3464.0,2016,9,3,2016-Q3
106,Airport West,h,720000,PI,Nelson,2017-02-25,13.5,3042.0,Western Metropolitan,3464.0,2017,2,1,2017-Q1
107,Airport West,u,474000,PI,Barry,2016-07-26,13.5,3042.0,Western Metropolitan,3464.0,2016,7,3,2016-Q3
108,Airport West,t,490000,SP,Frank,2016-07-26,13.5,3042.0,Western Metropolitan,3464.0,2016,7,3,2016-Q3
109,Airport West,h,405000,S,Ray,2016-06-27,13.5,3042.0,Western Metropolitan,3464.0,2016,6,2,2016-Q2
110,Airport West,t,715000,S,Barry,2016-11-27,13.5,3042.0,Western Metropolitan,3464.0,2016,11,4,2016-Q4
111,Airport West,u,671500,S,McDonald,2016-11-27,13.5,3042.0,Western Metropolitan,3464.0,2016,11,4,2016-Q4
112,Airport West,h,765000,S,Prof.,2016-11-27,13.5,3042.0,Western Metropolitan,3464.0,2016,11,4,2016-Q4
113,Airport West,h,900000,S,Harcourts,2016-11-27,13.5,3042.0,Western Metropolitan,3464.0,2016,11,4,2016-Q4
114,Airport West,u,820000,S,Nelson,2016-08-28,13.5,3042.0,Western Metropolitan,3464.0,2016,8,3,2016-Q3
115,Airport West,u,650000,PI,Nelson,2016-07-30,13.5,3042.0,Western Metropolitan,3464.0,2016,7,3,2016-Q3
116,Airport West,t,552000,SP,Nelson,2016-07-30,13.5,3042.0,Western Metropolitan,3464.0,2016,7,3,2016-Q3
117,Albert Park,h,1275000,S,hockingstuart,2016-09-03,3.3,3206.0,Southern Metropolitan,3280.0,2016,9,3,2016-Q3
118,Albert Park,h,1455000,S,Thomson,2016-09-03,3.3,3206.0,Southern Metropolitan,3280.0,2016,9,3,2016-Q3
119,Albert Park,h,2850000,PI,Buxton,2017-03-04,3.3,3206.0,Southern Metropolitan,3280.0,2017,3,1,2017-Q1
120,Albert Park,h,1850000,S,Greg,2017-03-04,3.3,3206.0,Southern Metropolitan,3280.0,2017,3,1,2017-Q1
121,Albert Park,h,1436000,S,RT,2017-03-04,3.3,3206.0,Southern Metropolitan,3280.0,2017,3,1,2017-Q1
122,Albert Park,h,1110000,S,Marshall,2016-08-06,3.3,3206.0,Southern Metropolitan,3280.0,2016,8,3,2016-Q3
123,Albert Park,h,1550000,S,Sotheby's,2016-05-07,3.3,3206.0,Southern Metropolitan,3280.0,2016,5,2,2016-Q2
124,Albert Park,h,2300000,S,Marshall,2016-05-07,3.3,3206.0,Southern Metropolitan,3280.0,2016,5,2,2016-Q2
125,Albert Park,t,1550000,VB,Marshall,2016-11-07,3.3,3206.0,Southern Metropolitan,3280.0,2016,11,4,2016-Q4
126,Albert Park,h,1800000,VB,Greg,2016-11-07,3.3,3206.0,Southern Metropolitan,3280.0,2016,11,4,2016-Q4
127,Albert Park,h,2485000,S,Cayzer,2016-10-08,3.3,3206.0,Southern Metropolitan,3280.0,2016,10,4,2016-Q4
128,Albert Park,h,2120000,S,Greg,2016-09-10,3.3,3206.0,Southern Metropolitan,3280.0,2016,9,3,2016-Q3
129,Albert Park,h,1800000,VB,Cayzer,2016-09-10,3.3,3206.0,Southern Metropolitan,3280.0,2016,9,3,2016-Q3
130,Albert Park,h,1800000,S,Marshall,2016-09-10,3.3,3206.0,Southern Metropolitan,3280.0,2016,9,3,2016-Q3
131,Albert Park,h,1810000,PI,Greg,2016-12-10,3.3,3206.0,Southern Metropolitan,3280.0,2016,12,4,2016-Q4
132,Albert Park,h,2615000,S,Cayzer,2016-12-10,3.3,3206.0,Southern Metropolitan,3280.0,2016,12,4,2016-Q4
133,Albert Park,h,2100000,S,Greg,2016-12-10,3.3,3206.0,Southern Metropolitan,3280.0,2016,12,4,2016-Q4
134,Albert Park,h,1300000,S,hockingstuart,2016-12-10,3.3,3206.0,Southern Metropolitan,3280.0,2016,12,4,2016-Q4
135,Albert Park,h,1370000,S,Greg,2016-06-12,3.3,3206.0,Southern Metropolitan,3280.0,2016,6,2,2016-Q2
136,Albert Park,h,1000000,S,Cayzer,2016-11-12,3.3,3206.0,Southern Metropolitan,3280.0,2016,11,4,2016-Q4
137,Albert Park,h,2575000,S,Greg,2016-10-15,3.3,3206.0,Southern Metropolitan,3280.0,2016,10,4,2016-Q4
138,Albert Park,h,1322500,S,Greg,2016-10-15,3.3,3206.0,Southern Metropolitan,3280.0,2016,10,4,2016-Q4
139,Albert Park,h,1562500,S,Greg,2016-10-15,3.3,3206.0,Southern Metropolitan,3280.0,2016,10,4,2016-Q4
140,Albert Park,h,2000000,VB,RT,2016-04-16,3.3,3206.0,Southern Metropolitan,3280.0,2016,4,2,2016-Q2
141,Albert Park,h,1900000,S,Greg,2017-03-18,3.3,3206.0,Southern Metropolitan,3280.0,2017,3,1,2017-Q1
142,Albert Park,h,3010000,S,Greg,2017-03-18,3.3,3206.0,Southern Metropolitan,3280.0,2017,3,1,2017-Q1
143,Albert Park,h,2800000,VB,Cayzer,2016-06-18,3.3,3206.0,Southern Metropolitan,3280.0,2016,6,2,2016-Q2
144,Albert Park,u,647000,S,Greg,2016-05-22,3.3,3206.0,Southern Metropolitan,3280.0,2016,5,2,2016-Q2
145,Albert Park,h,2100000,SP,Marshall,2016-04-23,3.3,3206.0,Southern Metropolitan,3280.0,2016,4,2,2016-Q2
146,Albert Park,h,2000000,PI,Marshall,2016-09-24,3.3,3206.0,Southern Metropolitan,3280.0,2016,9,3,2016-Q3
147,Albert Park,u,442500,S,Marshall,2017-02-25,3.3,3206.0,Southern Metropolitan,3280.0,2017,2,1,2017-Q1
148,Albert Park,h,4735000,S,Marshall,2017-02-25,3.3,3206.0,Southern Metropolitan,3280.0,2017,2,1,2017-Q1
149,Albert Park,h,1340000,S,Greg,2017-02-25,3.3,3206.0,Southern Metropolitan,3280.0,2017,2,1,2017-Q1
150,Albert Park,h,1801000,S,hockingstuart,2017-02-25,3.3,3206.0,Southern Metropolitan,3280.0,2017,2,1,2017-Q1
151,Albert Park,h,1532000,S,Chisholm,2016-07-26,3.3,3206.0,Southern Metropolitan,3280.0,2016,7,3,2016-Q3
152,Albert Park,h,3755000,S,Greg,2016-07-26,3.3,3206.0,Southern Metropolitan,3280.0,2016,7,3,2016-Q3
153,Albert Park,h,2140000,S,Greg,2016-06-27,3.3,3206.0,Southern Metropolitan,3280.0,2016,6,2,2016-Q2
154,Albert Park,u,1810000,PI,Marshall,2016-06-27,3.3,3206.0,Southern Metropolitan,3280.0,2016,6,2,2016-Q2
155,Albert Park,h,1750000,S,Marshall,2016-11-27,3.3,3206.0,Southern Metropolitan,3280.0,2016,11,4,2016-Q4
156,Albert Park,h,980000,S,Greg,2016-05-28,3.3,3206.0,Southern Metropolitan,3280.0,2016,5,2,2016-Q2
157,Albert Park,h,2030000,S,hockingstuart,2016-08-28,3.3,3206.0,Southern Metropolitan,3280.0,2016,8,3,2016-Q3
158,Albert Park,h,1740000,PI,Marshall,2016-08-28,3.3,3206.0,Southern Metropolitan,3280.0,2016,8,3,2016-Q3
159,Albert Park,h,2800000,VB,Buxton,2016-07-30,3.3,3206.0,Southern Metropolitan,3280.0,2016,7,3,2016-Q3
160,Albert Park,h,985000,S,Marshall,2016-07-30,3.3,3206.0,Southern Metropolitan,3280.0,2016,7,3,2016-Q3
161,Alphington,h,2000000,S,Brace,2016-09-03,6.4,3078.0,Northern Metropolitan,2211.0,2016,9,3,2016-Q3
162,Alphington,h,1110000,S,Jellis,2016-09-03,6.4,3078.0,Northern Metropolitan,2211.0,2016,9,3,2016-Q3
163,Alphington,h,1492000,S,Jellis,2017-03-04,6.4,3078.0,Northern Metropolitan,2211.0,2017,3,1,2017-Q1
164,Alphington,u,480000,PI,Miles,2016-05-07,6.4,3078.0,Northern Metropolitan,2211.0,2016,5,2,2016-Q2
165,Alphington,t,1304000,SP,Holland,2016-10-08,6.4,3078.0,Northern Metropolitan,2211.0,2016,10,4,2016-Q4
166,Alphington,h,1717500,S,Collins,2016-10-08,6.4,3078.0,Northern Metropolitan,2211.0,2016,10,4,2016-Q4
167,Alphington,h,2840000,S,Nelson,2016-06-12,6.4,3078.0,Northern Metropolitan,2211.0,2016,6,2,2016-Q2
168,Alphington,u,525500,S,Miles,2016-11-12,6.4,3078.0,Northern Metropolitan,2211.0,2016,11,4,2016-Q4
169,Alphington,t,805000,S,Miles,2016-11-12,6.4,3078.0,Northern Metropolitan,2211.0,2016,11,4,2016-Q4
170,Alphington,u,465000,S,McGrath,2016-11-12,6.4,3078.0,Northern Metropolitan,2211.0,2016,11,4,2016-Q4
171,Alphington,h,1480000,S,Nelson,2016-08-13,6.4,3078.0,Northern Metropolitan,2211.0,2016,8,3,2016-Q3
172,Alphington,h,2000000,PI,hockingstuart,2016-10-15,6.4,3078.0,Northern Metropolitan,2211.0,2016,10,4,2016-Q4
173,Alphington,h,1540000,S,Nelson,2016-04-16,6.4,3078.0,Northern Metropolitan,2211.0,2016,4,2,2016-Q2
174,Alphington,u,590000,PI,Nelson,2016-09-17,6.4,3078.0,Northern Metropolitan,2211.0,2016,9,3,2016-Q3
175,Alphington,u,820000,S,Nelson,2017-03-18,6.4,3078.0,Northern Metropolitan,2211.0,2017,3,1,2017-Q1
176,Alphington,h,1830000,S,Nelson,2016-11-19,6.4,3078.0,Northern Metropolitan,2211.0,2016,11,4,2016-Q4
177,Alphington,h,2100000,S,Nelson,2016-11-19,6.4,3078.0,Northern Metropolitan,2211.0,2016,11,4,2016-Q4
178,Alphington,h,865000,SP,hockingstuart,2016-05-22,6.4,3078.0,Northern Metropolitan,2211.0,2016,5,2,2016-Q2
179,Alphington,u,390000,VB,Nelson,2016-05-22,6.4,3078.0,Northern Metropolitan,2211.0,2016,5,2,2016-Q2
180,Alphington,t,650000,SP,Brace,2016-09-24,6.4,3078.0,Northern Metropolitan,2211.0,2016,9,3,2016-Q3
181,Alphington,u,512000,S,Love,2017-02-25,6.4,3078.0,Northern Metropolitan,2211.0,2017,2,1,2017-Q1
182,Alphington,h,1361000,S,Collins,2017-02-25,6.4,3078.0,Northern Metropolitan,2211.0,2017,2,1,2017-Q1
183,Alphington,h,1310000,S,Jellis,2016-07-26,6.4,3078.0,Northern Metropolitan,2211.0,2016,7,3,2016-Q3
184,Alphington,h,570000,VB,Thomas,2016-06-27,6.4,3078.0,Northern Metropolitan,2211.0,2016,6,2,2016-Q2
185,Alphington,h,1165000,S,Barry,2016-06-27,6.4,3078.0,Northern Metropolitan,2211.0,2016,6,2,2016-Q2
186,Alphington,u,530000,S,Jellis,2016-11-27,6.4,3078.0,Northern Metropolitan,2211.0,2016,11,4,2016-Q4
187,Alphington,h,1900000,SP,McGrath,2016-11-27,6.4,3078.0,Northern Metropolitan,2211.0,2016,11,4,2016-Q4
188,Alphington,h,1485000,SP,McGrath,2016-08-28,6.4,3078.0,Northern Metropolitan,2211.0,2016,8,3,2016-Q3
189,Alphington,h,1950000,S,Jellis,2016-07-30,6.4,3078.0,Northern Metropolitan,2211.0,2016,7,3,2016-Q3
190,Altona,h,520000,VB,Greg,2016-09-03,13.8,3018.0,Western Metropolitan,5301.0,2016,9,3,2016-Q3
191,Altona,h,1525000,S,Greg,2016-12-03,13.8,3018.0,Western Metropolitan,5301.0,2016,12,4,2016-Q4
192,Altona,t,720000,S,hockingstuart,2016-02-04,13.8,3018.0,Western Metropolitan,5301.0,2016,2,1,2016-Q1
193,Altona,h,1120000,S,Barlow,2017-03-04,13.8,3018.0,Western Metropolitan,5301.0,2017,3,1,2017-Q1
194,Altona,h,780000,PI,Sweeney,2016-06-04,13.8,3018.0,Western Metropolitan,5301.0,2016,6,2,2016-Q2
195,Altona,h,1780000,SP,Greg,2016-06-04,13.8,3018.0,Western Metropolitan,5301.0,2016,6,2,2016-Q2
196,Altona,u,630000,S,Barlow,2016-08-06,13.8,3018.0,Western Metropolitan,5301.0,2016,8,3,2016-Q3
197,Altona,u,406000,SP,hockingstuart,2016-08-06,13.8,3018.0,Western Metropolitan,5301.0,2016,8,3,2016-Q3
198,Altona,h,660000,VB,Greg,2016-05-07,13.8,3018.0,Western Metropolitan,5301.0,2016,5,2,2016-Q2
199,Altona,h,683500,S,Greg,2016-11-07,13.8,3018.0,Western Metropolitan,5301.0,2016,11,4,2016-Q4
200,Altona,u,540000,VB,hockingstuart,2016-10-08,13.8,3018.0,Western Metropolitan,5301.0,2016,10,4,2016-Q4
201,Altona,u,580000,S,Barlow,2016-10-08,13.8,3018.0,Western Metropolitan,5301.0,2016,10,4,2016-Q4
202,Altona,h,1335000,S,hockingstuart,2016-10-08,13.8,3018.0,Western Metropolitan,5301.0,2016,10,4,2016-Q4
203,Altona,t,800000,SP,hockingstuart,2016-10-08,13.8,3018.0,Western Metropolitan,5301.0,2016,10,4,2016-Q4
204,Altona,u,510000,S,Village,2016-09-10,13.8,3018.0,Western Metropolitan,5301.0,2016,9,3,2016-Q3
205,Altona,h,1070000,S,Barlow,2016-09-10,13.8,3018.0,Western Metropolitan,5301.0,2016,9,3,2016-Q3
206,Altona,u,425000,S,hockingstuart,2016-09-10,13.8,3018.0,Western Metropolitan,5301.0,2016,9,3,2016-Q3
207,Altona,u,605000,S,Jas,2016-12-10,13.8,3018.0,Western Metropolitan,5301.0,2016,12,4,2016-Q4
208,Altona,t,705000,S,hockingstuart,2017-02-11,13.8,3018.0,Western Metropolitan,5301.0,2017,2,1,2017-Q1
209,Altona,u,391000,SP,Greg,2017-02-11,13.8,3018.0,Western Metropolitan,5301.0,2017,2,1,2017-Q1
210,Altona,u,440000,SP,hockingstuart,2017-02-11,13.8,3018.0,Western Metropolitan,5301.0,2017,2,1,2017-Q1
211,Altona,h,845000,S,hockingstuart,2017-02-11,13.8,3018.0,Western Metropolitan,5301.0,2017,2,1,2017-Q1
212,Altona,h,766000,S,Williams,2017-03-11,13.8,3018.0,Western Metropolitan,5301.0,2017,3,1,2017-Q1
213,Altona,t,743000,SP,Gunn&Co,2016-11-12,13.8,3018.0,Western Metropolitan,5301.0,2016,11,4,2016-Q4
